label_index	winner_index	loser_index	evaluator_index
5514	4	2	8
13719	21	37	56
9650	11	9	30
10981	16	31	8
5807	8	15	11
12434	11	18	16
13954	29	30	5
13456	27	7	11
4851	30	35	18
2967	25	32	56
5529	20	2	5
2366	29	36	17
8711	29	14	11
7385	28	16	7
1098	37	3	5
2955	20	32	3
11853	37	25	28
9369	25	5	44
13184	30	7	56
35	11	0	43
3845	1	10	56
2394	18	36	28
7479	29	16	3
1867	7	6	17
1159	26	3	30
4659	32	33	23
4817	25	33	53
2335	35	36	23
1076	23	3	59
9129	18	5	11
3567	23	10	29
2453	3	36	18
1993	37	17	3
3515	5	10	11
10616	25	24	63
9638	30	9	28
13862	21	26	56
1794	1	6	18
5006	25	35	5
12755	37	8	11
12732	35	8	44
1733	22	6	3
3846	1	10	47
3367	15	13	3
13409	3	7	61
13180	30	7	35
11196	33	31	14
4150	24	4	23
9139	17	5	44
3552	16	10	28
6837	16	1	11
12806	3	8	5
13613	9	37	56
7337	19	1	11
3254	32	13	26
869	31	19	54
10941	28	31	11
1510	8	6	41
421	33	0	61
11806	16	25	56
11286	6	31	17
13254	16	7	55
8572	11	14	61
1702	10	6	54
11039	29	31	3
3890	7	10	16
8351	24	34	31
7055	32	1	26
5263	13	2	18
1168	26	3	34
13755	30	26	56
13962	18	30	42
10477	3	24	44
9081	23	5	8
14033	31	30	56
4441	11	33	16
8856	27	14	10
7448	35	16	34
8683	37	14	18
2056	24	17	56
5249	8	2	17
8234	23	34	54
12467	16	18	23
4755	22	33	43
9256	31	5	56
7835	12	21	44
11871	18	25	17
7582	3	16	59
10960	12	31	28
7334	19	1	56
9858	32	9	17
6384	33	20	56
8792	3	14	61
4280	10	4	28
9676	5	9	54
11802	9	25	11
11510	24	12	61
13562	20	7	8
13102	27	29	56
13880	6	26	56
6891	37	1	22
6944	17	1	11
8010	26	21	34
4229	31	4	61
11038	29	31	3
7002	24	1	25
11524	24	12	11
2471	32	36	56
13811	18	26	18
10901	7	22	5
10324	30	24	34
4114	8	4	44
8873	36	14	44
5401	14	2	8
10173	24	28	30
2109	27	17	18
5838	24	15	44
6725	30	1	17
12460	9	18	23
4452	28	33	56
5012	19	35	18
4937	3	35	7
13306	29	7	61
11876	18	25	42
12265	3	11	34
4550	29	33	44
876	14	19	61
1774	15	6	34
5574	19	2	56
12019	33	25	59
10519	27	24	11
8601	28	14	11
2872	26	32	5
7843	9	21	56
10611	25	24	17
11988	31	25	34
10191	32	28	61
2587	21	36	44
13308	29	7	17
6281	34	20	61
6214	37	20	44
7114	14	1	18
7704	22	16	58
6964	8	1	5
13509	33	7	11
520	25	0	44
10620	25	24	5
6355	31	20	57
