label_index	winner_index	loser_index	evaluator_index
52985	50	3	71
32180	45	78	109
11760	58	9	152
3111	49	15	124
60778	2	53	39
51712	4	1	140
46367	75	48	50
23385	74	41	60
40134	12	58	177
61845	23	59	31
31621	77	79	51
26011	9	61	31
59784	73	63	44
13267	25	60	209
4061	24	31	124
38964	17	73	26
46815	71	50	104
17730	11	10	204
6429	55	66	38
59585	29	63	124
1225	59	22	132
15489	27	65	177
56295	19	42	90
56705	35	17	65
54516	4	18	44
33293	45	46	104
33619	43	46	200
41734	2	51	147
18943	77	69	195
10409	44	54	65
30521	52	23	132
50253	75	30	210
15671	18	65	44
37172	33	39	177
39199	40	20	131
41646	31	51	121
283	51	19	117
2489	0	12	177
13292	7	60	139
2451	18	11	108
62846	1	45	84
41416	41	51	114
60619	80	53	53
16117	14	37	89
18999	56	69	60
245	65	19	66
710	28	22	39
25228	67	44	216
47990	45	34	60
42950	53	13	49
49499	37	30	169
8374	55	56	160
7071	24	26	50
18537	1	69	74
34852	0	72	8
4902	19	16	31
63099	8	45	42
62145	60	28	157
63540	80	32	60
56177	45	42	201
49182	42	30	104
60978	25	53	213
48198	55	34	216
56966	14	17	209
40537	6	36	211
57477	44	2	117
62423	12	28	132
10933	41	0	210
44891	75	62	31
14451	25	6	147
21754	58	57	169
63169	36	45	177
4255	30	31	118
52961	13	3	145
8595	38	49	147
18889	74	69	210
48871	30	77	65
44747	7	62	113
48574	40	77	177
64494	67	21	212
49043	17	77	189
26851	19	27	23
55803	21	42	51
46603	11	50	26
62706	15	45	65
2190	72	11	30
54663	45	18	38
44042	77	40	104
37312	25	39	103
29141	8	7	60
18098	7	10	189
59570	42	63	73
63545	24	32	177
63061	32	45	157
12938	54	60	152
46779	63	50	80
2732	51	12	152
62413	9	28	177
39124	6	20	50
13222	12	60	210
21509	18	64	177
25437	70	44	44
14583	21	65	45
43585	78	40	169
35107	69	72	103
51338	59	68	106
3392	14	15	215
55638	25	75	33
40194	7	58	126
2137	15	11	31
52321	75	1	50
60401	28	53	210
37756	60	67	50
27785	1	76	145
21125	33	64	99
18491	37	69	42
42722	71	13	30
27050	25	27	113
34131	4	47	102
34779	18	47	84
58671	20	25	204
50388	38	68	74
41585	24	51	66
2828	3	12	181
32060	60	78	23
15041	73	65	102
49	38	19	113
4590	49	16	15
30334	58	23	32
56181	44	42	114
55409	31	75	145
11741	35	9	42
57398	4	2	31
10460	63	54	200
6177	54	66	137
48131	32	34	66
50319	0	68	201
3562	12	15	124
46971	36	50	160
45924	45	48	113
1101	34	22	109
39554	0	58	147
5157	66	16	138
6876	4	26	177
5935	38	66	42
11816	28	9	89
19179	41	38	177
16514	13	5	60
42112	66	51	97
50953	63	68	181
25274	34	44	146
37649	6	67	51
19287	69	38	84
20946	78	64	103
25606	50	61	23
33166	52	46	188
14584	21	65	145
50032	27	30	188
39456	22	20	159
12716	6	60	121
21742	48	57	55
64065	15	21	109
20464	62	64	146
16916	24	5	69
54375	50	18	145
11857	61	9	38
59862	31	63	15
51900	51	1	26
44495	31	62	45
4793	54	16	211
62514	22	28	210
57321	35	2	66
24881	11	44	169
22468	67	57	108
50224	39	30	200
60860	3	53	103
3952	4	31	89
4272	34	31	103
10691	18	54	177
49158	0	30	157
37130	19	39	131
56629	75	42	44
20104	16	55	89
140	41	19	206
54182	25	14	50
54572	1	18	200
28993	10	7	62
20004	45	55	104
30506	37	23	38
10500	71	54	160
7559	7	26	126
25085	14	44	161
22625	7	57	50
12430	59	9	69
35806	6	35	145
47979	54	34	117
44241	47	62	131
18291	42	69	71
41155	57	36	138
24466	59	29	147
50181	77	30	139
48367	38	77	138
57378	61	2	108
43876	43	40	39
43234	47	40	4
37888	14	67	90
53552	70	3	65
48722	14	77	210
31530	43	79	116
21484	77	64	189
