label_index	winner_index	loser_index	evaluator_index
36833	62	29	147
11362	61	2	146
30412	23	68	82
58028	27	10	126
7350	43	12	8
40928	31	25	84
35931	54	28	98
56847	30	17	113
2203	15	52	30
20923	11	37	53
38759	27	45	99
57304	2	58	167
28745	28	36	23
20401	43	37	119
37155	45	29	70
31543	55	46	83
43289	63	16	130
48882	33	31	8
60712	13	55	119
9103	31	59	126
26601	69	14	40
42745	59	16	153
5735	2	6	147
60490	53	55	57
44590	34	67	167
60783	71	55	147
13315	41	78	58
23270	50	26	82
1912	71	52	127
37928	21	76	127
38897	14	45	82
251	48	33	102
6396	32	71	137
10667	41	43	33
56860	22	17	15
49423	26	72	8
60457	46	55	98
32478	22	5	167
18708	31	19	129
6560	19	71	104
37395	22	29	52
28896	78	36	134
61423	58	30	159
34299	41	44	171
39715	8	38	27
1458	22	48	52
49035	40	31	104
42448	50	57	82
31293	8	46	138
56775	31	17	119
17731	41	15	67
10522	8	43	126
26196	5	21	85
46491	61	56	15
19431	41	20	131
9147	6	59	33
27145	19	14	102
7480	28	12	82
53189	58	47	107
27071	72	14	42
54994	67	79	30
26704	9	14	4
7861	27	12	118
49981	65	72	102
33797	46	44	119
2453	52	61	167
37705	52	76	72
55149	17	79	23
4554	26	24	52
18959	47	20	99
49022	61	31	116
57370	8	58	97
825	0	48	171
3568	42	35	76
62283	23	27	113
37237	49	29	42
42668	30	57	122
39993	22	38	122
47001	34	73	14
18780	15	19	10
31600	70	5	137
60452	46	55	48
28487	72	11	167
50990	47	34	153
55146	65	79	80
44587	34	67	99
55908	45	7	147
14777	37	13	45
12461	72	51	126
61921	12	30	137
19877	78	49	82
29300	17	36	123
1704	39	52	159
50475	44	62	102
25577	31	64	104
49537	46	72	153
7689	78	12	21
29836	57	9	10
7108	67	75	4
7827	10	12	30
49534	46	72	159
56131	55	7	58
773	69	48	138
61430	78	30	21
17758	57	15	21
788	38	48	30
30574	1	68	159
11572	57	2	167
50595	29	62	164
47356	61	73	123
