,data_key,method,ndcg10,param,viewpoint
0,bike,crowdea_2,0.7854292402039754,,*viewpoint00
1,bike,crowdea_2,0.8164267392110971,,*viewpoint01
2,bike,crowdea_2,0.941498295603326,,*viewpoint05
3,bike,crowdea_2,0.7987232170391602,,*viewpoint07
4,bike,crowdea_2,0.8158168885246201,,*viewpoint08
5,bike,crowdea_2,0.8318903989095078,,*viewpoint10
6,bike,crowdea_2,0.6969009027250063,,*viewpoint11
7,bike,crowdea_2,0.9214265020414149,,*viewpoint21
8,bike,crowdea_2,0.7411176890936716,,*viewpoint26
9,bike,crowdea_2,0.8600593199881188,,*viewpoint29
10,bike,crowdea_2,0.8377508918111549,,*viewpoint43
11,bike,crowdea_2,0.9411101905531088,,*viewpoint44
12,bike,crowdea_2,0.9025908176066684,,*viewpoint49
13,bike,crowdea_2,0.8771572545920802,,*viewpoint50
14,bike,crowdea_2,0.823874299513289,,*viewpoint54
15,bike,crowdea_2,0.9027996280282462,,*viewpoint57
16,bike,crowdea_2,0.8788135705965314,,*viewpoint75
17,bike,crowdea_2,0.9061822030841508,,*viewpoint79
18,bike,crowdea_2,0.7920162437474967,,*viewpoint80
19,bike,crowdea_2,0.8028266041744855,,*viewpoint83
20,bike,crowdea_2,0.5989960396850216,,*viewpoint84
21,bike,crowdea_2,0.920927374143794,,*viewpoint85
22,bike,crowdea_2,0.9325366121411406,,*viewpoint91
23,bike,crowdea_2,0.9340383712047846,,*viewpoint93
24,bike,crowdea_2,0.8487376692067976,,*viewpoint96
25,bike,crowdea_2,0.8269548928955797,,*viewpoint97
26,bike,crowdea_2,0.8794837566466258,,*viewpoint99
27,bike,crowdea_3,0.791176117550917,,*viewpoint00
28,bike,crowdea_3,0.8357410394299583,,*viewpoint01
29,bike,crowdea_3,0.9563219360954572,,*viewpoint05
30,bike,crowdea_3,0.9213537272963128,,*viewpoint07
31,bike,crowdea_3,0.8358198749742753,,*viewpoint08
32,bike,crowdea_3,0.8694484379324753,,*viewpoint10
33,bike,crowdea_3,0.7806265688326809,,*viewpoint11
34,bike,crowdea_3,0.9218981536679259,,*viewpoint21
35,bike,crowdea_3,0.8977624978023873,,*viewpoint26
36,bike,crowdea_3,0.8709570022538414,,*viewpoint29
37,bike,crowdea_3,0.8786186278906681,,*viewpoint43
38,bike,crowdea_3,0.9659644403998456,,*viewpoint44
39,bike,crowdea_3,0.9134617991737404,,*viewpoint49
40,bike,crowdea_3,0.9011702011376406,,*viewpoint50
41,bike,crowdea_3,0.8468652665928567,,*viewpoint54
42,bike,crowdea_3,0.8951787300496759,,*viewpoint57
43,bike,crowdea_3,0.8947941875174533,,*viewpoint75
44,bike,crowdea_3,0.9235270617106291,,*viewpoint79
45,bike,crowdea_3,0.8227617572331956,,*viewpoint80
46,bike,crowdea_3,0.8641054949930734,,*viewpoint83
47,bike,crowdea_3,0.7198064021530087,,*viewpoint84
48,bike,crowdea_3,0.9255486601337459,,*viewpoint85
49,bike,crowdea_3,0.9363463391563184,,*viewpoint91
50,bike,crowdea_3,0.960997679336802,,*viewpoint93
51,bike,crowdea_3,0.8920569699096057,,*viewpoint96
52,bike,crowdea_3,0.8456186814859591,,*viewpoint97
53,bike,crowdea_3,0.8970997245031338,,*viewpoint99
54,bike,blade_chest_2_x,0.8175698740445734,0.001,*viewpoint00
55,bike,blade_chest_2_x,0.74836311648721,0.001,*viewpoint01
56,bike,blade_chest_2_x,0.8564254330232149,0.001,*viewpoint05
57,bike,blade_chest_2_x,0.8563726616156331,0.001,*viewpoint07
58,bike,blade_chest_2_x,0.8549286460804912,0.001,*viewpoint08
59,bike,blade_chest_2_x,0.7225087291901452,0.001,*viewpoint10
60,bike,blade_chest_2_x,0.6179635917786035,0.001,*viewpoint11
61,bike,blade_chest_2_x,0.8410216770278012,0.001,*viewpoint21
62,bike,blade_chest_2_x,0.6511424946727659,0.001,*viewpoint26
63,bike,blade_chest_2_x,0.8295808131742516,0.001,*viewpoint29
64,bike,blade_chest_2_x,0.7999826592523827,0.001,*viewpoint43
65,bike,blade_chest_2_x,0.7710140682301113,0.001,*viewpoint44
66,bike,blade_chest_2_x,0.8827216897687309,0.001,*viewpoint49
67,bike,blade_chest_2_x,0.8474702341555369,0.001,*viewpoint50
68,bike,blade_chest_2_x,0.8761257180390724,0.001,*viewpoint54
69,bike,blade_chest_2_x,0.9106297818728571,0.001,*viewpoint57
70,bike,blade_chest_2_x,0.7296539364362248,0.001,*viewpoint75
71,bike,blade_chest_2_x,0.882377095153756,0.001,*viewpoint79
72,bike,blade_chest_2_x,0.8195759976705015,0.001,*viewpoint80
73,bike,blade_chest_2_x,0.7823936448488821,0.001,*viewpoint83
74,bike,blade_chest_2_x,0.4698864735525347,0.001,*viewpoint84
75,bike,blade_chest_2_x,0.837201652502058,0.001,*viewpoint85
76,bike,blade_chest_2_x,0.8656838495877959,0.001,*viewpoint91
77,bike,blade_chest_2_x,0.6783133441220301,0.001,*viewpoint93
78,bike,blade_chest_2_x,0.8726548435259426,0.001,*viewpoint96
79,bike,blade_chest_2_x,0.8442295712049517,0.001,*viewpoint97
80,bike,blade_chest_2_x,0.8409766628756947,0.001,*viewpoint99
81,bike,blade_chest_2_x,0.7448740838908567,0.01,*viewpoint00
82,bike,blade_chest_2_x,0.7131784536925129,0.01,*viewpoint01
83,bike,blade_chest_2_x,0.8888506112968579,0.01,*viewpoint05
84,bike,blade_chest_2_x,0.8544086274738109,0.01,*viewpoint07
85,bike,blade_chest_2_x,0.7851984037417388,0.01,*viewpoint08
86,bike,blade_chest_2_x,0.7790608382503414,0.01,*viewpoint10
87,bike,blade_chest_2_x,0.5799299385323125,0.01,*viewpoint11
88,bike,blade_chest_2_x,0.7875473161364354,0.01,*viewpoint21
89,bike,blade_chest_2_x,0.6402434175394205,0.01,*viewpoint26
90,bike,blade_chest_2_x,0.8311733766106612,0.01,*viewpoint29
91,bike,blade_chest_2_x,0.7698688642287537,0.01,*viewpoint43
92,bike,blade_chest_2_x,0.7086359621235618,0.01,*viewpoint44
93,bike,blade_chest_2_x,0.8009177180644059,0.01,*viewpoint49
94,bike,blade_chest_2_x,0.8147736138524286,0.01,*viewpoint50
95,bike,blade_chest_2_x,0.8575667577483709,0.01,*viewpoint54
96,bike,blade_chest_2_x,0.9020181526563588,0.01,*viewpoint57
97,bike,blade_chest_2_x,0.7146252225856174,0.01,*viewpoint75
98,bike,blade_chest_2_x,0.8543636955535282,0.01,*viewpoint79
99,bike,blade_chest_2_x,0.8167100716806912,0.01,*viewpoint80
100,bike,blade_chest_2_x,0.7469359712952592,0.01,*viewpoint83
101,bike,blade_chest_2_x,0.4324220643107685,0.01,*viewpoint84
102,bike,blade_chest_2_x,0.8232464255502091,0.01,*viewpoint85
103,bike,blade_chest_2_x,0.8681696274151871,0.01,*viewpoint91
104,bike,blade_chest_2_x,0.6282027341753343,0.01,*viewpoint93
105,bike,blade_chest_2_x,0.8461498265964568,0.01,*viewpoint96
106,bike,blade_chest_2_x,0.8167356080672871,0.01,*viewpoint97
107,bike,blade_chest_2_x,0.8346879488406368,0.01,*viewpoint99
108,bike,blade_chest_2_x,0.7662592744557573,0.1,*viewpoint00
109,bike,blade_chest_2_x,0.7268018414813991,0.1,*viewpoint01
110,bike,blade_chest_2_x,0.8838635112895747,0.1,*viewpoint05
111,bike,blade_chest_2_x,0.8547296311401229,0.1,*viewpoint07
112,bike,blade_chest_2_x,0.7431352010569989,0.1,*viewpoint08
113,bike,blade_chest_2_x,0.8072633282397783,0.1,*viewpoint10
114,bike,blade_chest_2_x,0.5549438566130077,0.1,*viewpoint11
115,bike,blade_chest_2_x,0.8158383029840671,0.1,*viewpoint21
116,bike,blade_chest_2_x,0.6395041553416746,0.1,*viewpoint26
117,bike,blade_chest_2_x,0.8035395589265122,0.1,*viewpoint29
118,bike,blade_chest_2_x,0.7577199372897352,0.1,*viewpoint43
119,bike,blade_chest_2_x,0.7302477163159135,0.1,*viewpoint44
120,bike,blade_chest_2_x,0.7925406966288493,0.1,*viewpoint49
121,bike,blade_chest_2_x,0.7924340465066864,0.1,*viewpoint50
122,bike,blade_chest_2_x,0.8577824992765388,0.1,*viewpoint54
123,bike,blade_chest_2_x,0.8873349343749604,0.1,*viewpoint57
124,bike,blade_chest_2_x,0.7576699093283059,0.1,*viewpoint75
125,bike,blade_chest_2_x,0.8812144104176551,0.1,*viewpoint79
126,bike,blade_chest_2_x,0.7778840567535336,0.1,*viewpoint80
127,bike,blade_chest_2_x,0.7379175751732178,0.1,*viewpoint83
128,bike,blade_chest_2_x,0.4313314364086915,0.1,*viewpoint84
129,bike,blade_chest_2_x,0.8580226132679786,0.1,*viewpoint85
130,bike,blade_chest_2_x,0.8753541145415242,0.1,*viewpoint91
131,bike,blade_chest_2_x,0.5907325655428716,0.1,*viewpoint93
132,bike,blade_chest_2_x,0.8431875451164842,0.1,*viewpoint96
133,bike,blade_chest_2_x,0.7924661042844299,0.1,*viewpoint97
134,bike,blade_chest_2_x,0.8585645005917804,0.1,*viewpoint99
135,bike,blade_chest_3_x,0.7989569952310664,0.001,*viewpoint00
136,bike,blade_chest_3_x,0.7547285010544056,0.001,*viewpoint01
137,bike,blade_chest_3_x,0.9008179162105806,0.001,*viewpoint05
138,bike,blade_chest_3_x,0.8520939864576594,0.001,*viewpoint07
139,bike,blade_chest_3_x,0.8052755032551019,0.001,*viewpoint08
140,bike,blade_chest_3_x,0.8179918924117805,0.001,*viewpoint10
141,bike,blade_chest_3_x,0.6617491337581416,0.001,*viewpoint11
142,bike,blade_chest_3_x,0.8629238972259584,0.001,*viewpoint21
143,bike,blade_chest_3_x,0.8418546046391023,0.001,*viewpoint26
144,bike,blade_chest_3_x,0.8775783112362322,0.001,*viewpoint29
145,bike,blade_chest_3_x,0.7891524673581725,0.001,*viewpoint43
146,bike,blade_chest_3_x,0.8394083264363704,0.001,*viewpoint44
147,bike,blade_chest_3_x,0.8905607356279163,0.001,*viewpoint49
148,bike,blade_chest_3_x,0.8022544574304251,0.001,*viewpoint50
149,bike,blade_chest_3_x,0.850048628141592,0.001,*viewpoint54
150,bike,blade_chest_3_x,0.8798309793068364,0.001,*viewpoint57
151,bike,blade_chest_3_x,0.8219455216820434,0.001,*viewpoint75
152,bike,blade_chest_3_x,0.9117140568799648,0.001,*viewpoint79
153,bike,blade_chest_3_x,0.7614334659159534,0.001,*viewpoint80
154,bike,blade_chest_3_x,0.7764597216746206,0.001,*viewpoint83
155,bike,blade_chest_3_x,0.6220758911443317,0.001,*viewpoint84
156,bike,blade_chest_3_x,0.9257115050085448,0.001,*viewpoint85
157,bike,blade_chest_3_x,0.9017772491899364,0.001,*viewpoint91
158,bike,blade_chest_3_x,0.7926785191756662,0.001,*viewpoint93
159,bike,blade_chest_3_x,0.8467689444856166,0.001,*viewpoint96
160,bike,blade_chest_3_x,0.8477800436301229,0.001,*viewpoint97
161,bike,blade_chest_3_x,0.8947561748802465,0.001,*viewpoint99
162,bike,blade_chest_3_x,0.8057837789269825,0.01,*viewpoint00
163,bike,blade_chest_3_x,0.6957228913740882,0.01,*viewpoint01
164,bike,blade_chest_3_x,0.8776308561509316,0.01,*viewpoint05
165,bike,blade_chest_3_x,0.8204053144326747,0.01,*viewpoint07
166,bike,blade_chest_3_x,0.7524161078791916,0.01,*viewpoint08
167,bike,blade_chest_3_x,0.7733943848234167,0.01,*viewpoint10
168,bike,blade_chest_3_x,0.6179291514255997,0.01,*viewpoint11
169,bike,blade_chest_3_x,0.838495571457702,0.01,*viewpoint21
170,bike,blade_chest_3_x,0.7220778260975297,0.01,*viewpoint26
171,bike,blade_chest_3_x,0.8574323287286841,0.01,*viewpoint29
172,bike,blade_chest_3_x,0.7472324315537588,0.01,*viewpoint43
173,bike,blade_chest_3_x,0.7574882043545428,0.01,*viewpoint44
174,bike,blade_chest_3_x,0.8110416041373235,0.01,*viewpoint49
175,bike,blade_chest_3_x,0.7752728542904049,0.01,*viewpoint50
176,bike,blade_chest_3_x,0.8551358117146884,0.01,*viewpoint54
177,bike,blade_chest_3_x,0.8550991586112019,0.01,*viewpoint57
178,bike,blade_chest_3_x,0.8001047723887479,0.01,*viewpoint75
179,bike,blade_chest_3_x,0.8830250618248804,0.01,*viewpoint79
180,bike,blade_chest_3_x,0.7993246227147217,0.01,*viewpoint80
181,bike,blade_chest_3_x,0.7692050932935538,0.01,*viewpoint83
182,bike,blade_chest_3_x,0.5527196314511305,0.01,*viewpoint84
183,bike,blade_chest_3_x,0.8893002843199441,0.01,*viewpoint85
184,bike,blade_chest_3_x,0.8880943073065941,0.01,*viewpoint91
185,bike,blade_chest_3_x,0.6539736252990777,0.01,*viewpoint93
186,bike,blade_chest_3_x,0.8292995987994719,0.01,*viewpoint96
187,bike,blade_chest_3_x,0.7872049433479198,0.01,*viewpoint97
188,bike,blade_chest_3_x,0.8890781728818128,0.01,*viewpoint99
189,bike,blade_chest_3_x,0.7625258727472258,0.1,*viewpoint00
190,bike,blade_chest_3_x,0.7548741777280025,0.1,*viewpoint01
191,bike,blade_chest_3_x,0.8256165636619093,0.1,*viewpoint05
192,bike,blade_chest_3_x,0.8482152681162249,0.1,*viewpoint07
193,bike,blade_chest_3_x,0.7182576525560819,0.1,*viewpoint08
194,bike,blade_chest_3_x,0.7905033606757279,0.1,*viewpoint10
195,bike,blade_chest_3_x,0.6935040698546034,0.1,*viewpoint11
196,bike,blade_chest_3_x,0.8465288871078811,0.1,*viewpoint21
197,bike,blade_chest_3_x,0.6547217326284985,0.1,*viewpoint26
198,bike,blade_chest_3_x,0.8085796281595726,0.1,*viewpoint29
199,bike,blade_chest_3_x,0.7234442808719895,0.1,*viewpoint43
200,bike,blade_chest_3_x,0.7466524747726365,0.1,*viewpoint44
201,bike,blade_chest_3_x,0.7936943913030858,0.1,*viewpoint49
202,bike,blade_chest_3_x,0.8420250725026472,0.1,*viewpoint50
203,bike,blade_chest_3_x,0.8692086213534801,0.1,*viewpoint54
204,bike,blade_chest_3_x,0.8364090875253085,0.1,*viewpoint57
205,bike,blade_chest_3_x,0.7707268225648514,0.1,*viewpoint75
206,bike,blade_chest_3_x,0.8810263596471796,0.1,*viewpoint79
207,bike,blade_chest_3_x,0.8118991129811349,0.1,*viewpoint80
208,bike,blade_chest_3_x,0.778065665747779,0.1,*viewpoint83
209,bike,blade_chest_3_x,0.6134102847638977,0.1,*viewpoint84
210,bike,blade_chest_3_x,0.9098105619196056,0.1,*viewpoint85
211,bike,blade_chest_3_x,0.8425620408140023,0.1,*viewpoint91
212,bike,blade_chest_3_x,0.6275925990108202,0.1,*viewpoint93
