,data_key,method,ndcg10,param,viewpoint
0,bike,crowdea_2,0.7532942576865816,,*viewpoint00
1,bike,crowdea_2,0.8414099760459505,,*viewpoint01
2,bike,crowdea_2,0.9102813298417254,,*viewpoint05
3,bike,crowdea_2,0.8192726519769077,,*viewpoint07
4,bike,crowdea_2,0.8087752703151364,,*viewpoint08
5,bike,crowdea_2,0.9517108301063092,,*viewpoint10
6,bike,crowdea_2,0.6495898158530835,,*viewpoint11
7,bike,crowdea_2,0.9399744458339592,,*viewpoint21
8,bike,crowdea_2,0.7612628809065383,,*viewpoint26
9,bike,crowdea_2,0.85725388434588,,*viewpoint29
10,bike,crowdea_2,0.8155892252305711,,*viewpoint43
11,bike,crowdea_2,0.9615526301604664,,*viewpoint44
12,bike,crowdea_2,0.9089540033546744,,*viewpoint49
13,bike,crowdea_2,0.8668061280534513,,*viewpoint50
14,bike,crowdea_2,0.8014977780496946,,*viewpoint54
15,bike,crowdea_2,0.8678860391599326,,*viewpoint57
16,bike,crowdea_2,0.963695327357958,,*viewpoint75
17,bike,crowdea_2,0.9258120061018738,,*viewpoint79
18,bike,crowdea_2,0.7424368466696302,,*viewpoint80
19,bike,crowdea_2,0.8166947046108547,,*viewpoint83
20,bike,crowdea_2,0.5339384391026973,,*viewpoint84
21,bike,crowdea_2,0.9105501483408828,,*viewpoint85
22,bike,crowdea_2,0.9550552086297224,,*viewpoint91
23,bike,crowdea_2,0.9523639349804628,,*viewpoint93
24,bike,crowdea_2,0.8003850483720791,,*viewpoint96
25,bike,crowdea_2,0.8192517827841016,,*viewpoint97
26,bike,crowdea_2,0.90512257831,,*viewpoint99
27,bike,crowdea_3,0.7896645475458337,,*viewpoint00
28,bike,crowdea_3,0.9153208270648718,,*viewpoint01
29,bike,crowdea_3,0.9246690700081768,,*viewpoint05
30,bike,crowdea_3,0.8859573367321208,,*viewpoint07
31,bike,crowdea_3,0.8252500085355302,,*viewpoint08
32,bike,crowdea_3,0.9549970818168464,,*viewpoint10
33,bike,crowdea_3,0.7573331446448256,,*viewpoint11
34,bike,crowdea_3,0.9478425190102512,,*viewpoint21
35,bike,crowdea_3,0.8315602920988238,,*viewpoint26
36,bike,crowdea_3,0.8618231353671529,,*viewpoint29
37,bike,crowdea_3,0.9704341695268308,,*viewpoint43
38,bike,crowdea_3,0.9646218817069712,,*viewpoint44
39,bike,crowdea_3,0.9548191178649296,,*viewpoint49
40,bike,crowdea_3,0.8900256946747465,,*viewpoint50
41,bike,crowdea_3,0.8431846629185534,,*viewpoint54
42,bike,crowdea_3,0.882373875062437,,*viewpoint57
43,bike,crowdea_3,0.9667164986400018,,*viewpoint75
44,bike,crowdea_3,0.9546594383557141,,*viewpoint79
45,bike,crowdea_3,0.8099326959042646,,*viewpoint80
46,bike,crowdea_3,0.8523536781573936,,*viewpoint83
47,bike,crowdea_3,0.6833429776739888,,*viewpoint84
48,bike,crowdea_3,0.9486924371978196,,*viewpoint85
49,bike,crowdea_3,0.9635956718278073,,*viewpoint91
50,bike,crowdea_3,0.9503773196592082,,*viewpoint93
51,bike,crowdea_3,0.9393274913881434,,*viewpoint96
52,bike,crowdea_3,0.8411370922622039,,*viewpoint97
53,bike,crowdea_3,0.9081523439744428,,*viewpoint99
54,bike,blade_chest_2_x,0.8380441181183839,0.001,*viewpoint00
55,bike,blade_chest_2_x,0.8424148936192203,0.001,*viewpoint01
56,bike,blade_chest_2_x,0.8706628241583496,0.001,*viewpoint05
57,bike,blade_chest_2_x,0.8451057397014444,0.001,*viewpoint07
58,bike,blade_chest_2_x,0.80122426994174,0.001,*viewpoint08
59,bike,blade_chest_2_x,0.6875181678008716,0.001,*viewpoint10
60,bike,blade_chest_2_x,0.6060014390073591,0.001,*viewpoint11
61,bike,blade_chest_2_x,0.8096165664128441,0.001,*viewpoint21
62,bike,blade_chest_2_x,0.7153691333006678,0.001,*viewpoint26
63,bike,blade_chest_2_x,0.8575827735479319,0.001,*viewpoint29
64,bike,blade_chest_2_x,0.781242400564008,0.001,*viewpoint43
65,bike,blade_chest_2_x,0.731528823748122,0.001,*viewpoint44
66,bike,blade_chest_2_x,0.8815803506974709,0.001,*viewpoint49
67,bike,blade_chest_2_x,0.8421592208871371,0.001,*viewpoint50
68,bike,blade_chest_2_x,0.8468685193910959,0.001,*viewpoint54
69,bike,blade_chest_2_x,0.8583455713269692,0.001,*viewpoint57
70,bike,blade_chest_2_x,0.7544716674521609,0.001,*viewpoint75
71,bike,blade_chest_2_x,0.8830094439263237,0.001,*viewpoint79
72,bike,blade_chest_2_x,0.8338828554916193,0.001,*viewpoint80
73,bike,blade_chest_2_x,0.7470750106511573,0.001,*viewpoint83
74,bike,blade_chest_2_x,0.4895293289134421,0.001,*viewpoint84
75,bike,blade_chest_2_x,0.8662394580925179,0.001,*viewpoint85
76,bike,blade_chest_2_x,0.8452730651322192,0.001,*viewpoint91
77,bike,blade_chest_2_x,0.5796703023762924,0.001,*viewpoint93
78,bike,blade_chest_2_x,0.8081688237072715,0.001,*viewpoint96
79,bike,blade_chest_2_x,0.8096905996834279,0.001,*viewpoint97
80,bike,blade_chest_2_x,0.83690571174036,0.001,*viewpoint99
81,bike,blade_chest_2_x,0.8303740300768423,0.01,*viewpoint00
82,bike,blade_chest_2_x,0.8248927415220609,0.01,*viewpoint01
83,bike,blade_chest_2_x,0.853938999997884,0.01,*viewpoint05
84,bike,blade_chest_2_x,0.8437191158421761,0.01,*viewpoint07
85,bike,blade_chest_2_x,0.7881085099922783,0.01,*viewpoint08
86,bike,blade_chest_2_x,0.6747333206397866,0.01,*viewpoint10
87,bike,blade_chest_2_x,0.6165780830403768,0.01,*viewpoint11
88,bike,blade_chest_2_x,0.7997880923727242,0.01,*viewpoint21
89,bike,blade_chest_2_x,0.7066568367306221,0.01,*viewpoint26
90,bike,blade_chest_2_x,0.8690116977435781,0.01,*viewpoint29
91,bike,blade_chest_2_x,0.7383428011743499,0.01,*viewpoint43
92,bike,blade_chest_2_x,0.678036554518737,0.01,*viewpoint44
93,bike,blade_chest_2_x,0.8570502854893233,0.01,*viewpoint49
94,bike,blade_chest_2_x,0.7877780188262911,0.01,*viewpoint50
95,bike,blade_chest_2_x,0.8593556505938955,0.01,*viewpoint54
96,bike,blade_chest_2_x,0.8647268631709546,0.01,*viewpoint57
